Company,ISIN,MarketValueUSD,RevenueUSD,Revenue_Value,Revenue_Currency,Revenue_UnitMultiplier,RDBudgetUSD,RDBudget_Value,RDBudget_Currency,RDBudget_UnitMultiplier,Employees,Activity,Region,MajorShareholders,Flag_OUI,Flag_NON
Thales,FR0000121329,,23806000000.0,23.806,USD,1000000000.0,1473000000.0,1.473,USD,1000000000.0,83020.0,Electronique,,French Governement,False,False
Toyota,JP3633400001,,312850000000.0,312.85,USD,1000000000.0,8968000000.0,8.968,USD,1000000000.0,383853.0,Automobile,,Toyota Industries,False,False
TSMC,TW0002330008,,93419000000.0,93.419,USD,1000000000.0,6590000000.0,6.59,USD,1000000000.0,,Electronique,,National Developement Fund,True,False
Uber,US90353T1007 (nasdaq.com),,43978000000.0,43.978,USD,1000000000.0,3109000000.0,3.109,USD,1000000000.0,31100.0,Logiciel transports,,Vanguard,True,False
Verizon,US92343V1044,,134788000000.00002,134.788,USD,1000000000.0,,,USD,,99600.0,Télécomm,,Vanguard,False,False
Vodafone Group,GB00BH4HKS39,,37448000000.0,37.448,USD,1000000000.0,,,USD,,87205.0,Télécomm,,Emirates Investment Authority,False,False
Volvo,SE0000115446,,55280000000.0,55.28,USD,1000000000.0,3348000000.0,3.348,USD,1000000000.0,88191.0,Automobile,,Swedbank,False,False
Waymo,pas cotée,,,,,,,,,,,Logiciel transports,,,False,True
Spotify,LU1778762911,,15673000000.0,15.673,USD,1000000000.0,1447000000.0,1.447,USD,1000000000.0,7691.0,Logiciel musique,,Lorentzon,False,True
MediaTek,TW0002454006,,17125000000.0,17.125,USD,1000000000.0,4260000000.0,4.26,USD,1000000000.0,,Electronique,,Vanguard,True,False
